text,label
"Your OTP is 438291 for login verification.",ham
"Win 10,000 cash now! Click here to claim.",spam
"Meeting scheduled at 2 PM tomorrow.",ham
"Congratulations! You have been selected for a prize.",spam
"Reminder: Project submission due today.",ham
"Limited offer! Buy one get one free!",spam
"Your parcel is arriving today.",ham
"Urgent: Account suspended, verify details immediately!",spam
"Lunch at 1 PM? Let’s meet at the cafe.",ham
"You’ve won a free vacation! Confirm now.",spam
"Security alert: Login from unknown device.",ham
"Earn money fast!!! Join today.",spam
"Don’t forget to attend the workshop at 4 PM.",ham
"Get free recharge by clicking this link!",spam
"Dinner at 8?",ham
"Your loan is approved. Contact us immediately.",spam
"Weather update: Light showers expected today.",ham
"You are eligible for a personal credit card!",spam
"Happy Birthday! Have a wonderful day.",ham
"Click here to claim your 50,000 reward instantly!",spam
